launch_name,date,success,rocket_id,payloads,launchpad_id
CRS-8,2016-04-08T20:43:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
JCSAT-2B,2016-05-06T05:21:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Thaicom 8,2016-05-27T21:39:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
ABS-2A / Eutelsat 117W B,2016-06-15T14:29:00.000Z,True,5e9d0d95eda69973a809d1ec,2,5e9e4501f509094ba4566f84
CRS-9,2016-07-18T04:45:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
JCSAT-16,2016-08-14T05:26:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Amos-6,2016-09-01T13:07:00.000Z,False,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Iridium NEXT Mission 1,2017-01-14T17:54:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509092b78566f87
CRS-10,2017-02-19T14:39:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
EchoStar 23,2017-03-16T06:00:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
SES-10,2017-03-30T22:27:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
NROL-76,2017-05-01T11:15:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
Inmarsat-5 F4,2017-05-15T23:21:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
CRS-11,2017-06-03T21:07:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
BulgariaSat-1,2017-06-23T19:10:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
Iridium NEXT Mission 2,2017-06-25T20:25:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509092b78566f87
Intelsat 35e,2017-07-05T23:35:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
CRS-12,2017-08-14T16:31:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
FormoSat-5,2017-08-24T18:50:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509092b78566f87
